timestamp,trip_id,route_id,stop_id,delay_seconds,schedule_relationship,lat,lon
2026-06-30T18:25:46+00:00,74485496,52-20789,4746,,0,50.9055,-114.061
2026-06-30T18:25:46+00:00,74485498,52-20789,9215,,0,50.9146,-114.1
2026-06-30T18:25:46+00:00,74485525,99-20789,4935,,0,50.9604,-114.045
2026-06-30T18:25:46+00:00,74485526,99-20789,4386,,0,50.9656,-114.048
2026-06-30T18:25:46+00:00,74485556,99-20789,5636,,0,50.9695,-114.124
2026-06-30T18:25:46+00:00,74485588,138-20789,7235,,0,51.1294,-114.198
2026-06-30T18:25:46+00:00,74485615,138-20789,3463,,0,51.1434,-114.195
2026-06-30T18:25:46+00:00,74485655,158-20789,2151,,0,51.1351,-114.235
2026-06-30T18:25:46+00:00,74485681,138-20789,2151,,0,51.1349,-114.235
2026-06-30T18:25:46+00:00,74485769,302-20789,2843,,0,50.922,-113.958
2026-06-30T18:25:46+00:00,74485786,302-20789,3601,,0,50.8967,-113.943
2026-06-30T18:25:46+00:00,74485821,302-20789,7633,,0,50.9716,-114.002
2026-06-30T18:25:46+00:00,74485838,302-20789,3882,,0,51.0469,-114.074
2026-06-30T18:25:46+00:00,74485879,86-20789,3814,,0,51.1616,-114.06
2026-06-30T18:25:46+00:00,74485906,114-20789,8453,,0,51.1463,-114.07
2026-06-30T18:25:46+00:00,74485929,114-20789,4593,,0,51.1571,-114.068
2026-06-30T18:25:46+00:00,74486292,57-20789,3422,,0,51.0854,-113.981
2026-06-30T18:25:46+00:00,74486413,307-20789,2178,,0,51.0378,-113.929
2026-06-30T18:25:46+00:00,74486437,307-20789,9977,,0,51.0473,-114.058
2026-06-30T18:25:46+00:00,74486452,307-20789,9817,,0,51.0379,-113.984
2026-06-30T18:25:46+00:00,74486478,307-20789,8849,,0,51.0398,-114.031
2026-06-30T18:25:46+00:00,74486513,129-20789,7205,,0,51.1262,-114.152
2026-06-30T18:25:46+00:00,74486552,129-20789,2064,,0,51.1637,-114.144
2026-06-30T18:25:46+00:00,74486625,97-20789,5922,,0,51.1105,-114.167
2026-06-30T18:25:46+00:00,74486675,303-20789,6569,,0,51.1009,-113.958
2026-06-30T18:25:46+00:00,74486690,303-20789,3406,,0,51.073,-114.147
2026-06-30T18:25:46+00:00,74486714,303-20789,3406,,0,51.0728,-114.147
2026-06-30T18:25:46+00:00,74486726,303-20789,7881,,0,51.1147,-113.947
2026-06-30T18:25:46+00:00,74486744,303-20789,7551,,0,51.0675,-113.984
2026-06-30T18:25:46+00:00,74486776,71-20789,9642,,0,51.1083,-113.974
2026-06-30T18:25:46+00:00,74486777,71-20789,8636,,0,51.124,-113.948
2026-06-30T18:25:46+00:00,74486873,55-20789,9643,,0,51.1087,-113.975
2026-06-30T18:25:46+00:00,74486875,21-20789,5685,,0,51.1072,-113.951
2026-06-30T18:25:46+00:00,74486877,55-20789,2321,,0,51.1015,-113.935
2026-06-30T18:25:46+00:00,74486879,21-20789,4561,,0,51.1001,-113.961
2026-06-30T18:25:46+00:00,74487004,23-20789,8579,,0,51.1258,-113.948
2026-06-30T18:25:46+00:00,74487025,23-20789,8157,,0,51.0908,-113.959
2026-06-30T18:25:46+00:00,74487034,23-20789,2904,,0,50.8814,-113.95
2026-06-30T18:25:46+00:00,74487036,23-20789,6384,,0,51.0723,-113.958
2026-06-30T18:25:46+00:00,74487042,23-20789,2849,,0,50.9204,-113.958
2026-06-30T18:25:46+00:00,74487047,23-20789,8212,,0,50.9992,-113.958
2026-06-30T18:25:46+00:00,74487052,23-20789,5149,,0,51.0126,-113.959
2026-06-30T18:25:46+00:00,74487135,75-20789,9742,,0,50.8908,-113.968
2026-06-30T18:25:46+00:00,74487141,75-20789,2164,,0,50.8992,-114.065
2026-06-30T18:25:46+00:00,74487192,79-20789,2467,,0,50.8769,-113.956
2026-06-30T18:25:46+00:00,74487204,79-20789,9021,,0,50.8843,-113.949
2026-06-30T18:25:46+00:00,74487222,75-20789,9021,,0,50.8841,-113.949
2026-06-30T18:25:46+00:00,74487267,2-20789,8534,,0,51.0379,-114.118
2026-06-30T18:25:46+00:00,74487300,2-20789,4871,,0,51.1206,-114.084
2026-06-30T18:25:46+00:00,74487323,2-20789,4885,,0,51.1053,-114.072
2026-06-30T18:25:46+00:00,74487324,2-20789,5086,,0,51.0503,-114.063
2026-06-30T18:25:46+00:00,74487338,303-20789,2802,,0,51.0669,-114.017
2026-06-30T18:25:46+00:00,74487371,102-20789,4798,,0,50.9106,-114.07
2026-06-30T18:25:46+00:00,74487417,102-20789,9390,,0,50.8984,-114.069
2026-06-30T18:25:46+00:00,74487458,194-20789,2740,,0,50.874,-114.004
2026-06-30T18:25:46+00:00,74487514,11-20789,9187,,0,50.924,-114.074
2026-06-30T18:25:46+00:00,74487515,11-20789,9199,,0,50.8985,-114.068
2026-06-30T18:25:46+00:00,74487571,12-20789,9393,,0,50.9017,-114.065
2026-06-30T18:25:46+00:00,74487574,12-20789,7541,,0,50.9216,-114.075
2026-06-30T18:25:46+00:00,74487609,60-20789,8875,,0,51.1141,-113.968
2026-06-30T18:25:46+00:00,74487671,153-20789,7646,,0,50.9151,-113.965
2026-06-30T18:25:46+00:00,74487701,153-20789,3511,,0,50.9232,-113.932
2026-06-30T18:25:46+00:00,74487705,153-20789,,,0,50.8926,-114.054
